id,status,maxEntryPerUser,nftAddress,nftId,winner,extractedNumber,raisedInWei,raisedInEther,platformPercentage,requiredNFT,totalEntries,cancellingDate
0,"cancel requested","10","0x4347a485508bB0922A923A9E23ae3e1F1099E256","431","0x0000000000000000000000000000000000000000","0","0","0.0","25","0x0000000000000000000000000000000000000000","1","8/8/2022, 11:46:05"
1,"ended","10","0x4347a485508bB0922A923A9E23ae3e1F1099E256","431","0x9ceC17D3759a46e51A5004415B3262fcb6C6ac35","0","0","0.0","0","0x0000000000000000000000000000000000000000","1","fine non impostata"
2,"ended","1","0x8052a3765Df60dFf44eb911982c8EF1ca107ba1A","1707","0x9ceC17D3759a46e51A5004415B3262fcb6C6ac35","0","0","0.0","0","0x0000000000000000000000000000000000000000","5","fine non impostata"
3,"created","100","0x3C7b1f3bA0f3dD37C23448c7A10a2DF6fC629AC8","2822","0x0000000000000000000000000000000000000000","0","0","0.0","0","0x0000000000000000000000000000000000000000","0","fine non impostata"
4,"ended","100","0x3C7b1f3bA0f3dD37C23448c7A10a2DF6fC629AC8","2822","0xF7eC965e3ECb1745ac7F3F2F7647658305c85DBF","1","50000000000000000","0.05","0","0x0000000000000000000000000000000000000000","6","fine non impostata"
5,"ended","1","0x8052a3765Df60dFf44eb911982c8EF1ca107ba1A","1707","0xF7eC965e3ECb1745ac7F3F2F7647658305c85DBF","1","0","0.0","0","0x0000000000000000000000000000000000000000","4","fine non impostata"
6,"created","1","0x3e7FC44E25c07Be3d67C241E6E59cb838DF2F892","3055","0x0000000000000000000000000000000000000000","0","0","0.0","0","0x0000000000000000000000000000000000000000","0","fine non impostata"
7,"ended","1","0x3e7FC44E25c07Be3d67C241E6E59cb838DF2F892","3055","0x258673fc9127d60b41E3ECa368647988fea748cE","83","0","0.0","0","0x0000000000000000000000000000000000000000","90","fine non impostata"
8,"ended","30","0x23581767a106ae21c074b2276D25e5C3e136a68b","2859","0x8aF69db0e66957Ec67128806016Ba7e881719E0E","247","13190000000000000000","13.19","0","0x0000000000000000000000000000000000000000","301","fine non impostata"
9,"ended","5","0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e","1155","0xE969492daD509FbF160C30C12C744179fb26e79C","9","8280000000000000000","8.28","0","0x0000000000000000000000000000000000000000","46","fine non impostata"
10,"ended","10","0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D","7159","0x3b3ff3ab974edf9602D082b7612aFE1FB14017F9","439","65250000000000000000","65.25","0","0x0000000000000000000000000000000000000000","473","fine non impostata"
11,"ended","1","0x3e7FC44E25c07Be3d67C241E6E59cb838DF2F892","3071","0xDBEC5518Fb60abCaADEd2d373EEFfcC758e8B0cd","47","0","0.0","0","0x0000000000000000000000000000000000000000","91","fine non impostata"
12,"ended","1","0x3e7FC44E25c07Be3d67C241E6E59cb838DF2F892","3072","0xEd029E35441A795b7D6801B2900A68D89f01f9e8","31","0","0.0","0","0x0000000000000000000000000000000000000000","85","fine non impostata"
13,"ended","1","0x3e7FC44E25c07Be3d67C241E6E59cb838DF2F892","3051","0x98D56D0428e7817de0FcE60bbC8a7E1dC4441A42","43","0","0.0","0","0x0000000000000000000000000000000000000000","114","fine non impostata"
14,"ended","1","0x3e7FC44E25c07Be3d67C241E6E59cb838DF2F892","1796","0xA371eA46a6ceef58c87Ed05ad25a8B2655753a26","56","0","0.0","0","0x0000000000000000000000000000000000000000","107","fine non impostata"
15,"ended","1","0x3e7FC44E25c07Be3d67C241E6E59cb838DF2F892","3052","0x09D7808fc1fABCc263865288Ea560D39379a3F6a","82","0","0.0","0","0x0000000000000000000000000000000000000000","98","fine non impostata"
16,"ended","1","0x3e7FC44E25c07Be3d67C241E6E59cb838DF2F892","3058","0xD71C62AECA47A0fB2d17e3d1eFC6B320Ac507a77","8","0","0.0","0","0x0000000000000000000000000000000000000000","91","fine non impostata"
17,"ended","5","0x1A92f7381B9F03921564a437210bB9396471050C","6173","0xd7280E6F3b121BA1bC951e1E0Aa2835D20C94Ff4","7","1510000000000000000","1.51","0","0x0000000000000000000000000000000000000000","56","fine non impostata"
18,"cancel requested","5","0x49cF6f5d44E70224e2E23fDcdd2C053F30aDA28B","4378","0x0000000000000000000000000000000000000000","0","0","0.0","0","0x0000000000000000000000000000000000000000","0","25/8/2022, 14:56:38"
19,"created","1","0x209e639a0EC166Ac7a1A4bA41968fa967dB30221","4824","0x0000000000000000000000000000000000000000","0","0","0.0","0","0x0000000000000000000000000000000000000000","0","fine non impostata"
20,"ended","1","0x209e639a0EC166Ac7a1A4bA41968fa967dB30221","4824","0x5f00702988bf87d02C07BDFeDB70aF0F1bD2F021","5","0","0.0","0","0x0000000000000000000000000000000000000000","30","fine non impostata"
21,"created","1","0x209e639a0EC166Ac7a1A4bA41968fa967dB30221","8894","0x0000000000000000000000000000000000000000","0","0","0.0","0","0x0000000000000000000000000000000000000000","0","fine non impostata"
22,"ended","1","0x209e639a0EC166Ac7a1A4bA41968fa967dB30221","8894","0x0026dd985dA16f70E9D9cF739b08C6cdF6A7f407","2","0","0.0","0","0x0000000000000000000000000000000000000000","31","fine non impostata"
23,"ended","1","0x209e639a0EC166Ac7a1A4bA41968fa967dB30221","9342","0x2121Fc4d22cFE9101fb66ddD9F1E7530eEd82975","24","0","0.0","0","0x0000000000000000000000000000000000000000","26","fine non impostata"
